[5675:259:0804/121626.976885:WARNING:chrome_main_delegate.cc(594)] This is Chrome version 115.0.5790.114 (not a warning)
[5675:259:0804/121627.758803:WARNING:chrome_command_line_pref_store.cc(121)] Additional command-line proxy switches specified when --no-proxy-server was also specified.
[5675:259:0804/121627.855009:WARNING:chrome_command_line_pref_store.cc(121)] Additional command-line proxy switches specified when --no-proxy-server was also specified.
[5675:259:0804/121628.060993:INFO:chrome_browser_cloud_management_controller.cc(167)] Starting CBCM Controller Initialization
[5675:259:0804/121628.061056:INFO:chrome_browser_cloud_management_controller.cc(195)] No machine level policy manager exists.
[5675:259:0804/121628.067934:WARNING:chrome_command_line_pref_store.cc(121)] Additional command-line proxy switches specified when --no-proxy-server was also specified.
[5675:259:0804/121638.179144:INFO:CONSOLE(13)] "Failed to set the value "true" for the runtime feature flag "ENABLE_LIGHT_GET_ROOT_NODE_PATCH" because it is undefined. Available flags: "DUMMY_TEST_FLAG", "ENABLE_FORCE_NATIVE_SHADOW_MODE_FOR_TEST", "ENABLE_MIXED_SHADOW_MODE", "ENABLE_NATIVE_CUSTOM_ELEMENT_LIFECYCLE", "ENABLE_WIRE_SYNC_EMIT", "DISABLE_LIGHT_DOM_UNSCOPED_CSS", "ENABLE_FROZEN_TEMPLATE", "DISABLE_ARIA_REFLECTION_POLYFILL".", source: https://static.lightning.force.com/cs127/auraFW/javascript/MlRqRU5YT3pjWFRNenJranFOMWFjQXlMaWFpdmxPSTZWeEo0bWtiN0hsaXcyNDQuMjAuNC0yLjQxLjQ/aura_prod.js (13)
[5675:259:0804/121638.283867:INFO:CONSOLE(1)] "ComponentProfiler: Component-level profiling has not been enabled because "componentProfiler.instrumentation.ltng" gate is not open.", source: https://d8d000008efr1eac--yhtest.sandbox.lightning.force.com/components/instrumentation/componentProfiler.js (1)
[5675:259:0804/121711.405504:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121711.584319:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121712.766919:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121712.914406:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121713.484529:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121722.704758:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121723.191647:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121723.299069:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121725.190715:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121725.723010:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121725.851533:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121726.359540:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121726.469570:INFO:CONSOLE(1513)] "[object HTMLElement]", source:  (1513)
[5675:259:0804/121727.789013:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121728.249680:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121728.350448:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121728.765907:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121728.838936:INFO:CONSOLE(1513)] "[object HTMLElement]", source:  (1513)
[5675:259:0804/121730.101408:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121730.609248:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121730.720887:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121731.194992:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121731.301818:INFO:CONSOLE(1513)] "[object HTMLElement]", source:  (1513)
[5675:259:0804/121732.640994:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121733.108213:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121733.217484:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121735.005194:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121735.695847:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121735.807195:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121736.013670:INFO:CONSOLE(1513)] "[object HTMLElement]", source:  (1513)
[5675:259:0804/121737.833767:INFO:CONSOLE(1513)] "[object HTMLElement]", source:  (1513)
[5675:259:0804/121739.009427:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121739.689048:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121739.792887:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121742.568626:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121742.766400:INFO:CONSOLE(1513)] "[object HTMLElement]", source:  (1513)
[5675:259:0804/121743.002542:INFO:CONSOLE(1513)] "[object HTMLButtonElement]", source:  (1513)
[5675:259:0804/121743.071879:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121744.482167:INFO:CONSOLE(1)] "Toast: please provide at least the "label" property to show the toast", source: https://d8d000008efr1eac--yhtest.sandbox.lightning.force.com/components/lightning/showToastEvent.js (1)
[5675:259:0804/121747.852529:INFO:CONSOLE(41)] "[object Object]", source: https://d8d000008efr1eac--yhtest.sandbox.lightning.force.com/libraries/instrumentation/beaconLib.BeaconLibrary.js (41)
[5675:259:0804/121749.737407:INFO:CONSOLE(1)] "<lightning-icon> Invalid icon name utility:", source: https://d8d000008efr1eac--yhtest.sandbox.lightning.force.com/components/lightning/icon.js (1)
[5675:259:0804/121856.898380:INFO:CONSOLE(41)] "[object Object]", source: https://d8d000008efr1eac--yhtest.sandbox.lightning.force.com/libraries/instrumentation/beaconLib.BeaconLibrary.js (41)
[5675:259:0804/121857.808790:INFO:CONSOLE(41)] "[object Object]", source: https://d8d000008efr1eac--yhtest.sandbox.lightning.force.com/libraries/instrumentation/beaconLib.BeaconLibrary.js (41)
[5675:259:0804/121900.241084:INFO:CONSOLE(41)] "[object Object]", source: https://d8d000008efr1eac--yhtest.sandbox.lightning.force.com/libraries/instrumentation/beaconLib.BeaconLibrary.js (41)
[5675:259:0804/121908.479543:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121908.596919:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121909.435863:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121909.558711:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121910.026094:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121918.901290:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121919.483619:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121919.584657:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121921.375581:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121921.865054:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121921.959333:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121922.398251:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121922.476505:INFO:CONSOLE(1513)] "[object HTMLElement]", source:  (1513)
[5675:259:0804/121923.758615:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121924.330762:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121924.436944:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121924.838031:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121924.903969:INFO:CONSOLE(1513)] "[object HTMLElement]", source:  (1513)
[5675:259:0804/121926.180768:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121926.631788:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121926.721633:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121927.101422:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121927.171227:INFO:CONSOLE(1513)] "[object HTMLElement]", source:  (1513)
[5675:259:0804/121928.498174:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121929.056227:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121929.163742:INFO:CONSOLE(1513)] "[object HTMLDivElement]", source:  (1513)
[5675:259:0804/121935.759755:WARNING:pref_notifier_impl.cc(41)] Pref observer for media_router.cast_allow_all_ips found at shutdown.
